ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;226;275;292;267;308;288;314;273;270;270;226;203;211;223;218;220;256;249;244;259
ACRE;AC;12;NORTE;10;58;69;47;50;67;61;100;79;60;91;83;84;64;62;78;101;94;94;111;118
AMAZONAS;AM;13;NORTE;10;267;271;302;313;333;369;401;375;419;386;365;394;445;454;456;416;572;626;674;699
RORAIMA;RR;14;NORTE;10;44;51;53;68;59;67;45;45;76;58;68;74;53;52;45;68;57;71;60;95
PARÁ;PA;15;NORTE;10;627;628;533;672;493;557;652;630;661;655;778;754;802;759;806;839;816;906;1036;959
AMAPÁ;AP;16;NORTE;10;79;48;72;60;68;61;82;69;70;82;88;105;90;87;65;69;93;97;96;80
TOCANTINS;TO;17;NORTE;10;176;182;221;130;124;152;164;187;176;149;193;181;146;180;207;216;214;273;192;228
MARANHÃO;MA;21;NORDESTE;20;416;424;336;281;370;336;348;453;412;583;556;564;637;639;585;583;696;744;790;761
PIAUÍ;PI;22;NORDESTE;20;248;239;194;205;248;266;233;277;332;300;333;321;312;375;326;353;318;349;343;305
CEARÁ;CE;23;NORDESTE;20;717;838;670;1092;1062;855;902;958;1027;934;1019;987;1082;1026;1060;1073;992;1126;1099;1166
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;229;212;207;217;332;270;311;257;321;298;307;333;371;337;403;354;357;304;369;337
PARAÍBA;PB;25;NORDESTE;20;676;506;404;335;331;206;308;287;447;379;413;351;436;441;359;430;433;396;420;417
PERNAMBUCO;PE;26;NORDESTE;20;960;889;827;819;985;888;910;805;987;959;975;1080;1076;1167;1178;1323;1178;1193;1248;1272
ALAGOAS;AL;27;NORDESTE;20;256;271;344;240;287;290;309;390;381;330;357;365;356;384;421;385;354;389;375;340
SERGIPE;SE;28;NORDESTE;20;106;73;103;195;222;196;182;174;251;244;222;188;274;279;283;287;275;352;364;366
BAHIA;BA;29;NORDESTE;20;2568;2484;2507;3253;1790;1145;1270;1299;1388;1457;1691;1585;1468;1548;1871;1670;1719;1827;1866;1906
MINAS GERAIS;MG;31;SUDESTE;30;3610;3628;1927;2413;1804;1801;1961;1942;1742;1916;1951;2192;1985;2095;2324;2423;2550;2435;2669;2598
ESPÍRITO SANTO;ES;32;SUDESTE;30;566;532;478;432;528;525;488;529;586;585;643;727;656;701;756;683;796;849;933;909
RIO DE JANEIRO;RJ;33;SUDESTE;30;3108;2716;2409;2368;2436;2503;2419;2159;2407;2107;2221;2276;2386;2333;3118;3932;3039;3395;3726;4091
SÃO PAULO;SP;35;SUDESTE;30;6997;6610;6367;6732;6194;5029;4776;4557;4440;4611;4889;4631;5042;5348;5510;5615;6152;6379;6393;6760
PARANÁ;PR;41;SUL;40;1396;1323;1392;1319;1351;1282;1341;1373;1424;1375;1404;1529;1419;1405;1518;1524;1605;1718;1735;1833
SANTA CATARINA;SC;42;SUL;40;939;904;781;833;873;822;826;788;775;736;712;739;785;703;754;804;866;877;963;990
RIO GRANDE DO SUL;RS;43;SUL;40;1305;1306;1363;1320;1273;1299;1253;1240;1257;1221;1233;1349;1253;1316;1239;1400;1359;1791;1580;1632
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;395;347;331;264;283;297;310;293;353;333;286;315;323;398;406;398;403;444;384;379
MATO GROSSO;MT;51;CENTRO-OESTE;50;396;471;470;471;501;484;558;568;522;457;455;430;494;515;482;436;477;512;510;520
GOIÁS;GO;52;CENTRO-OESTE;50;384;481;485;527;546;653;641;647;642;686;607;677;642;667;711;792;837;924;1004;1051
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;372;347;331;319;317;347;377;344;370;396;405;405;445;443;445;434;431;432;433;385
BRASIL;BR;55;BRASIL;55;27121;26125;23446;25195;23185;21049;21481;20998;21796;21598;22480;22839;23253;23937;25624;26828;26939;28752;29617;30456
