ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;8;16;14;7;8;6;4;10;7;10;8;6;10;7;6;2;7;13;7;5
ACRE;AC;12;NORTE;10;0;0;0;2;1;3;4;1;1;0;5;2;1;5;3;3;0;1;1;1
AMAZONAS;AM;13;NORTE;10;4;3;3;3;1;12;10;13;10;7;7;14;13;9;10;8;1;7;5;8
RORAIMA;RR;14;NORTE;10;0;1;4;0;3;2;2;2;2;2;1;1;3;3;1;2;0;0;0;3
PARÁ;PA;15;NORTE;10;13;21;22;30;41;48;33;31;35;31;66;40;51;37;54;34;29;71;105;55
AMAPÁ;AP;16;NORTE;10;0;0;0;0;7;6;1;1;0;1;1;2;1;0;0;0;0;0;1;0
TOCANTINS;TO;17;NORTE;10;0;4;0;5;2;10;5;12;6;4;11;2;4;4;5;2;3;10;6;4
MARANHÃO;MA;21;NORDESTE;20;7;6;23;12;16;14;20;18;15;29;30;29;28;48;50;25;48;54;57;62
PIAUÍ;PI;22;NORDESTE;20;12;9;10;8;8;8;13;20;12;11;10;9;9;8;11;9;6;9;12;16
CEARÁ;CE;23;NORDESTE;20;13;19;15;15;17;19;19;24;12;8;32;23;31;31;14;20;9;3;9;14
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;16;9;5;13;4;1;10;8;4;4;12;10;11;4;10;6;9;6;9;5
PARAÍBA;PB;25;NORDESTE;20;0;7;9;13;7;1;10;10;4;11;21;13;10;7;4;7;9;1;2;3
PERNAMBUCO;PE;26;NORDESTE;20;14;21;28;16;16;12;20;11;6;9;20;12;10;5;2;6;2;1;2;4
ALAGOAS;AL;27;NORDESTE;20;4;1;1;1;2;2;1;3;2;5;5;1;3;0;1;0;0;0;0;0
SERGIPE;SE;28;NORDESTE;20;0;1;0;3;5;7;2;3;2;2;1;1;6;2;1;0;0;0;0;0
BAHIA;BA;29;NORDESTE;20;17;20;107;511;62;31;43;15;12;29;20;19;28;70;40;19;24;25;6;12
MINAS GERAIS;MG;31;SUDESTE;30;16;19;15;159;51;30;29;25;11;16;28;28;38;32;41;40;36;19;27;47
ESPÍRITO SANTO;ES;32;SUDESTE;30;8;5;1;4;5;4;3;5;2;1;3;3;0;1;2;0;1;2;2;1
RIO DE JANEIRO;RJ;33;SUDESTE;30;16;6;6;8;12;32;7;6;8;7;13;3;6;6;8;2;4;8;7;9
SÃO PAULO;SP;35;SUDESTE;30;42;23;49;6;9;16;12;9;16;13;62;54;40;40;46;42;38;59;67;18
PARANÁ;PR;41;SUL;40;16;8;16;18;16;21;17;14;9;5;9;9;11;5;8;7;13;6;12;11
SANTA CATARINA;SC;42;SUL;40;7;3;1;8;2;3;10;5;1;7;10;10;6;9;5;6;12;6;4;6
RIO GRANDE DO SUL;RS;43;SUL;40;27;13;19;23;15;18;15;10;6;13;6;5;10;2;7;6;12;9;13;7
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;5;7;4;1;0;1;3;1;1;1;4;5;1;3;3;2;1;2;4;2
MATO GROSSO;MT;51;CENTRO-OESTE;50;9;10;11;12;10;6;11;19;8;8;11;6;11;9;9;9;15;10;13;15
GOIÁS;GO;52;CENTRO-OESTE;50;7;14;8;6;9;20;11;6;9;9;6;8;9;4;10;4;5;4;7;4
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;9;4;0;4;0;3;3;1;0;1;2;5;2;0;1;3;0;0;4;2
BRASIL;BR;55;BRASIL;55;270;250;371;888;329;336;318;283;201;244;404;320;353;351;352;264;284;326;382;314
