ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;196;210;306;324;276;373;384;375;332;369;388;323;283;349;348;285;338;300;398;382
ACRE;AC;12;NORTE;10;59;55;57;14;40;55;66;48;49;36;46;49;39;60;62;50;85;97;116;116
AMAZONAS;AM;13;NORTE;10;220;201;229;222;250;197;199;173;226;264;377;413;446;571;633;879;853;692;759;927
RORAIMA;RR;14;NORTE;10;50;40;53;60;47;42;48;41;30;28;38;28;29;27;29;25;32;69;47;59
PARÁ;PA;15;NORTE;10;344;404;434;347;459;543;691;860;973;1199;1296;1390;1935;2042;2520;2082;2150;2254;2327;2546
AMAPÁ;AP;16;NORTE;10;91;57;74;61;33;42;50;72;75;54;74;59;66;69;103;78;116;99;148;152
TOCANTINS;TO;17;NORTE;10;52;55;82;74;100;136;88;114;104;82;89;85;94;123;125;157;172;140;164;269
MARANHÃO;MA;21;NORDESTE;20;178;143;122;95;138;208;238;332;335;472;461;585;689;784;812;939;1142;1382;1675;1722
PIAUÍ;PI;22;NORDESTE;20;45;49;39;57;101;110;122;152;141;156;201;196;169;192;220;264;321;373;456;406
CEARÁ;CE;23;NORDESTE;20;350;446;481;528;653;643;739;846;911;1011;1060;1231;1343;1515;2056;2063;3132;3652;3800;3397
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;141;156;141;140;145;213;195;294;235;270;303;441;541;614;615;779;850;1153;1316;1238
PARAÍBA;PB;25;NORDESTE;20;270;328;292;257;386;353;426;464;464;541;627;659;745;1022;1215;1382;1230;1251;1250;1265
PERNAMBUCO;PE;26;NORDESTE;20;2323;3003;3657;3598;3599;3944;3672;3757;3345;3492;3594;3707;3437;3106;2630;2533;2467;2301;2543;3073
ALAGOAS;AL;27;NORDESTE;20;516;481;419;381;482;610;718;778;752;914;1304;1555;1600;1569;1721;1937;1737;1872;1821;1482
SERGIPE;SE;28;NORDESTE;20;150;116;104;221;279;375;394;342;308;325;414;346;373;448;461;526;653;723;896;1101
BAHIA;BA;29;NORDESTE;20;1492;1428;787;537;759;1092;1206;1587;1587;2028;2396;2692;3822;4367;4449;4165;4600;4289;4652;4553
MINAS GERAIS;MG;31;SUDESTE;30;630;703;842;691;1387;1544;2031;2784;3230;3088;3069;2971;2742;2588;2455;2985;3210;3455;3363;3208
ESPÍRITO SANTO;ES;32;SUDESTE;30;664;961;1166;1132;1009;1038;1219;1184;1193;1188;1299;1372;1494;1557;1359;1358;1350;1289;1291;1100
RIO DE JANEIRO;RJ;33;SUDESTE;30;6035;6175;5982;6007;6132;6135;6697;6380;6205;5987;5807;5107;4346;4013;4118;3414;3473;3562;3656;3178
SÃO PAULO;SP;35;SUDESTE;30;5360;5366;6298;8042;9683;10626;9418;9569;7617;5784;5748;4129;3865;3831;3434;3231;3821;3408;3536;3066
PARANÁ;PR;41;SUL;40;794;903;972;1022;1082;1279;1486;1747;1925;2041;2234;2297;2561;2686;2648;2380;2441;2042;2083;1981
SANTA CATARINA;SC;42;SUL;40;212;226;195;189;221;266;318;404;377;386;381;378;499;505;477;481;495;439;496;563
RIO GRANDE DO SUL;RS;43;SUL;40;993;1141;1054;1079;1250;1340;1369;1362;1417;1471;1419;1655;1795;1641;1495;1529;1737;1711;2052;2281
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;473;499;417;353;442;397;426;433;387;346;372;401;389;433;339;364;335;314;355;317
MATO GROSSO;MT;51;CENTRO-OESTE;50;429;439;550;476;697;586;592;568;465;484;499;542;579;575;568;605;649;750;856;780
GOIÁS;GO;52;CENTRO-OESTE;50;417;396;391;495;650;700;824;813;921;891;923;945;1178;1192;1270;1536;1902;2096;1993;2120
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;492;464;530;500;565;554;544;636;583;512;502;591;617;745;630;710;786;656;706;535
BRASIL;BR;55;BRASIL;55;22976;24445;25674;26902;30865;33401;34160;36115;34187;33419;34921;34147;35676;36624;36792;36737;40077;40369;42755;41817
