ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;3;11;21;11;12;14;10;5;12;15;10;8;8;8;10;15;10;16;10;12
ACRE;AC;12;NORTE;10;2;5;4;0;5;9;6;7;10;7;2;6;6;5;4;4;6;2;4;3
AMAZONAS;AM;13;NORTE;10;15;17;12;10;9;14;9;11;19;12;6;6;13;10;12;13;13;12;10;9
RORAIMA;RR;14;NORTE;10;3;2;6;7;2;3;6;2;7;5;1;3;4;2;1;0;2;1;1;1
PARÁ;PA;15;NORTE;10;17;30;27;19;17;14;14;15;17;15;18;39;36;30;20;30;50;35;25;30
AMAPÁ;AP;16;NORTE;10;2;4;2;0;1;1;2;5;2;1;2;5;3;0;2;1;1;0;2;0
TOCANTINS;TO;17;NORTE;10;4;3;9;6;11;17;9;17;8;11;13;11;15;11;14;6;14;14;7;8
MARANHÃO;MA;21;NORDESTE;20;11;9;10;13;10;12;13;10;8;19;22;30;34;18;33;26;22;27;37;42
PIAUÍ;PI;22;NORDESTE;20;9;11;14;8;11;25;22;16;27;14;25;31;22;27;17;18;23;23;18;20
CEARÁ;CE;23;NORDESTE;20;46;35;31;37;25;44;49;34;31;41;30;30;33;41;24;17;16;18;36;22
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;10;15;14;15;12;16;15;19;20;19;35;11;15;10;11;13;10;15;15;9
PARAÍBA;PB;25;NORDESTE;20;0;7;14;9;3;8;13;9;15;15;11;13;22;14;14;12;20;6;11;8
PERNAMBUCO;PE;26;NORDESTE;20;91;86;54;57;59;51;45;35;38;35;37;35;33;23;30;24;31;19;17;10
ALAGOAS;AL;27;NORDESTE;20;16;8;9;11;11;11;6;2;9;7;6;7;11;7;3;1;3;8;1;3
SERGIPE;SE;28;NORDESTE;20;4;2;4;7;10;7;17;12;5;4;6;11;7;3;13;6;5;7;7;6
BAHIA;BA;29;NORDESTE;20;17;35;31;22;26;24;24;30;37;43;28;39;31;35;45;25;40;43;44;37
MINAS GERAIS;MG;31;SUDESTE;30;147;143;109;62;104;129;118;133;133;111;103;110;98;103;93;105;98;92;104;85
ESPÍRITO SANTO;ES;32;SUDESTE;30;24;27;27;26;14;14;16;23;16;27;17;11;15;13;23;18;15;22;11;10
RIO DE JANEIRO;RJ;33;SUDESTE;30;62;90;56;48;65;69;68;70;62;62;58;30;51;40;41;50;43;38;52;32
SÃO PAULO;SP;35;SUDESTE;30;313;293;261;225;231;269;264;239;221;227;234;222;211;217;205;184;181;205;181;176
PARANÁ;PR;41;SUL;40;166;138;154;134;123;150;102;108;118;114;81;94;70;88;59;61;76;78;71;78
SANTA CATARINA;SC;42;SUL;40;65;81;74;72;76;78;66;62;55;53;43;62;64;54;46;45;42;47;45;45
RIO GRANDE DO SUL;RS;43;SUL;40;296;295;310;310;303;248;288;294;259;233;240;215;203;208;165;155;175;204;167;167
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;46;38;31;32;42;32;36;41;27;40;34;22;27;25;15;26;21;24;22;24
MATO GROSSO;MT;51;CENTRO-OESTE;50;45;28;36;30;40;41;35;46;27;28;30;32;30;25;20;25;32;32;27;20
GOIÁS;GO;52;CENTRO-OESTE;50;72;79;58;69;82;79;91;67;48;45;32;41;46;31;29;27;23;42;33;36
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;57;47;29;20;26;29;22;18;16;23;14;17;15;21;20;9;17;10;15;12
BRASIL;BR;55;BRASIL;55;1543;1539;1407;1260;1330;1408;1366;1330;1247;1226;1138;1141;1123;1069;969;916;989;1040;973;905
