ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;284;274;344;344;303;416;409;409;370;408;410;341;305;367;368;303;358;333;417;408
ACRE;AC;12;NORTE;10;74;77;79;52;49;67;77;57;60;44;54;59;47;72;73;59;91;100;123;120
AMAZONAS;AM;13;NORTE;10;257;233;252;243;263;223;218;200;255;285;390;434;475;592;660;900;868;712;776;948
RORAIMA;RR;14;NORTE;10;53;43;63;67;52;47;57;45;46;36;41;32;42;34;32;28;35;70;50;63
PARÁ;PA;15;NORTE;10;377;468;527;480;526;625;741;909;1028;1253;1396;1490;2058;2144;2622;2174;2253;2391;2490;2654
AMAPÁ;AP;16;NORTE;10;93;61;76;61;41;50;53;79;77;56;77;66;70;69;106;79;117;99;151;152
TOCANTINS;TO;17;NORTE;10;83;76;106;109;123;168;105;144;119;100;114;100;115;145;145;166;190;164;180;282
MARANHÃO;MA;21;NORDESTE;20;228;200;244;171;204;259;286;370;363;522;524;654;769;868;907;1008;1235;1473;1790;1849
PIAUÍ;PI;22;NORDESTE;20;67;70;71;80;133;146;158;199;182;184;244;242;206;228;248;297;353;406;487;447
CEARÁ;CE;23;NORDESTE;20;440;520;545;585;696;706;815;908;959;1068;1136;1316;1428;1645;2113;2126;3161;3675;3860;3441
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;256;288;212;238;272;312;303;342;372;414;465;557;651;761;652;828;930;1213;1377;1294
PARAÍBA;PB;25;NORDESTE;20;270;342;321;281;397;367;451;483;485;571;667;694;781;1043;1234;1403;1260;1259;1264;1276
PERNAMBUCO;PE;26;NORDESTE;20;2453;3137;3769;3704;3693;4028;3761;3823;3405;3561;3674;3772;3492;3149;2667;2573;2505;2323;2577;3097
ALAGOAS;AL;27;NORDESTE;20;536;490;429;396;495;623;725;783;763;926;1315;1563;1615;1577;1725;1938;1740;1880;1822;1485
SERGIPE;SE;28;NORDESTE;20;224;171;193;276;307;403;414;363;317;333;424;358;390;455;476;532;658;731;903;1108
BAHIA;BA;29;NORDESTE;20;1526;1510;1677;1495;1523;1746;2073;2311;2262;2319;2625;3055;4387;4966;4818;4485;5147;4704;5127;5056
MINAS GERAIS;MG;31;SUDESTE;30;1066;1153;1308;1005;1601;1744;2201;2965;3400;3253;3232;3172;2928;2779;2629;3171;3382;3628;3533;3377
ESPÍRITO SANTO;ES;32;SUDESTE;30;738;1012;1215;1172;1030;1060;1243;1213;1215;1219;1325;1389;1510;1574;1385;1380;1371;1314;1305;1115
RIO DE JANEIRO;RJ;33;SUDESTE;30;6343;6488;6607;6602;6757;6698;7229;6819;6508;6305;6026;5582;4865;4592;4219;3535;3593;3709;3746;3242
SÃO PAULO;SP;35;SUDESTE;30;6020;5939;6912;8584;10631;11409;10229;10094;8146;6376;6187;4507;4237;4216;3845;3659;4239;3831;3972;3472
PARANÁ;PR;41;SUL;40;1082;1123;1209;1228;1297;1517;1653;1913;2078;2181;2357;2429;2681;2800;2759;2482;2567;2170;2217;2116
SANTA CATARINA;SC;42;SUL;40;294;343;313;289;315;361;409;489;447;461;448;464;585;573;531;539;549;496;550;618
RIO GRANDE DO SUL;RS;43;SUL;40;1489;1561;1479;1513;1663;1671;1732;1729;1735;1751;1760;1924;2053;1924;1741;1730;1992;1964;2299;2492
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;560;569;460;400;496;442;474;484;419;392;418;431;418;468;363;394;358;343;386;348
MATO GROSSO;MT;51;CENTRO-OESTE;50;500;478;604;520;747;635;654;653;521;546;556;591;626;617;603;653;710;796;906;821
GOIÁS;GO;52;CENTRO-OESTE;50;610;611;627;777;780;813;940;886;982;960;977;1005;1289;1253;1320;1580;1951;2153;2035;2165
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;558;516;569;526;591;586;569;655;599;536;518;613;635;766;651;722;803;667;725;549
BRASIL;BR;55;BRASIL;55;26481;27753;30211;31198;34985;37122;37979;39325;37113;36060;37360;36840;38658;39677;38892;38744;42416;42604;45068;43995
