ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;301;357;489;434;466;565;606;559;562;552;589;435;480;536;544;447;523;477;572;599
ACRE;AC;12;NORTE;10;102;100;109;51;108;122;151;135;115;125;155;133;133;152;165;168;209;241;232;218
AMAZONAS;AM;13;NORTE;10;449;467;536;527;557;483;512;561;523;598;697;711;827;915;1076;1289;1317;1183;1236;1469
RORAIMA;RR;14;NORTE;10;107;90;132;154;128;107;121;106;83;94;110;116;105;117;123;95;166;214;160;207
PARÁ;PA;15;NORTE;10;688;746;769;637;806;955;1186;1383;1522;1926;2073;2204;2868;2997;3540;3078;3261;3440;3472;3696
AMAPÁ;AP;16;NORTE;10;164;137;163;193;155;184;181;190;173;196;203;171;211;191;258;208;251;219;256;286
TOCANTINS;TO;17;NORTE;10;128;121;136;148;179;223;180;225;205;202;236;224;232;284;313;357;371;342;365;481
MARANHÃO;MA;21;NORDESTE;20;350;320;266;251;344;536;576;762;696;903;925;1092;1243;1387;1493;1573;1749;2136;2433;2435
PIAUÍ;PI;22;NORDESTE;20;126;153;141;131;234;279;315;316;347;386;437;406;387;398;430;461;544;609;722;664
CEARÁ;CE;23;NORDESTE;20;882;1021;941;1108;1229;1298;1443;1560;1576;1692;1793;1936;2031;2168;2692;2788;3840;4465;4628;4165
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;237;237;223;226;251;316;301;409;342;408;450;594;720;791;815;1042;1121;1452;1607;1542
PARAÍBA;PB;25;NORDESTE;20;628;491;454;404;519;490;608;620;659;740;819;861;1021;1269;1457;1619;1528;1550;1546;1520
PERNAMBUCO;PE;26;NORDESTE;20;3015;3710;4428;4200;4276;4697;4431;4512;4173;4307;4478;4560;4431;3954;3445;3464;3313;3121;3362;3875
ALAGOAS;AL;27;NORDESTE;20;740;642;585;552;724;836;989;1041;1034;1211;1617;1839;1887;1872;2086;2268;2046;2162;2097;1751
SERGIPE;SE;28;NORDESTE;20;238;190;176;338;416;532;549;473;464;492;597;526;574;663;690;739;883;958;1096;1295
BAHIA;BA;29;NORDESTE;20;1880;1975;1251;890;1223;1579;1735;2155;2255;2823;3278;3614;4765;5383;5763;5451;5936;5542;5897;5776
MINAS GERAIS;MG;31;SUDESTE;30;1225;1307;1471;1546;2056;2344;2977;3822;4241;4208;4155;4103;3869;3714;3627;4235;4535;4690;4699;4510
ESPÍRITO SANTO;ES;32;SUDESTE;30;1199;1426;1692;1543;1449;1472;1639;1640;1630;1600;1774;1885;1948;1996;1794;1681;1693;1626;1608;1454
RIO DE JANEIRO;RJ;33;SUDESTE;30;8049;7966;7570;7249;7337;7352;8321;7840;7391;7098;7122;6313;5395;5074;5267;4567;4589;4896;5412;4783
SÃO PAULO;SP;35;SUDESTE;30;12350;12552;14001;15810;15631;15745;14494;13903;11216;8727;8166;6234;6118;6326;5806;5629;6314;5850;5940;5113
PARANÁ;PR;41;SUL;40;1377;1586;1633;1698;1766;2039;2226;2525;2813;2981;3095;3112;3453;3695;3606;3331;3464;2929;2962;2871
SANTA CATARINA;SC;42;SUL;40;404;415;399;381;423;460;572;653;632;616;656;632;789;800;812;797;816;771;863;923
RIO GRANDE DO SUL;RS;43;SUL;40;1466;1633;1514;1523;1662;1848;1906;1900;1963;2015;1964;2174;2367;2229;2064;2057;2363;2310;2705;2917
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;727;735;669;572;644;619;694;709;650;628;678;699;690;727;638;668;679;621;697;635
MATO GROSSO;MT;51;CENTRO-OESTE;50;659;767;846;825;996;986;963;929;867;907;899;892;942;999;978;995;1070;1171;1364;1212
GOIÁS;GO;52;CENTRO-OESTE;50;705;695;636;800;1011;1102;1275;1259;1427;1398;1410;1426;1754;1792;1896;2214;2725;2910;2804;2926
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;698;668;720;723;770;774;744;856;815;745;769;815;873;1005;882;977;1031;919;946;815
BRASIL;BR;55;BRASIL;55;38894;40507;41950;42914;45360;47943;49695;51043;48374;47578;49145;47707;50113;51434;52260;52198;56337;56804;59681;58138
