ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;36;40;64;61;78;74;45;53;63;64;65;41;76;84;82;78;73;85;82;110
ACRE;AC;12;NORTE;10;10;13;16;7;27;30;22;26;26;19;25;36;33;31;40;41;43;44;49;39
AMAZONAS;AM;13;NORTE;10;70;79;80;54;77;94;80;91;98;91;98;129;147;152;162;188;185;225;233;263
RORAIMA;RR;14;NORTE;10;19;16;20;27;22;17;19;20;26;27;34;43;31;32;34;34;38;33;15;52
PARÁ;PA;15;NORTE;10;158;132;181;96;117;146;139;137;135;167;158;179;217;187;190;221;240;231;211;266
AMAPÁ;AP;16;NORTE;10;22;13;13;11;16;30;35;35;38;40;25;26;31;26;29;37;21;46;33;51
TOCANTINS;TO;17;NORTE;10;21;16;32;33;36;42;50;72;64;68;71;89;84;80;85;93;93;94;80;94
MARANHÃO;MA;21;NORDESTE;20;52;45;67;65;67;106;116;88;96;111;156;155;175;153;207;215;208;241;255;283
PIAUÍ;PI;22;NORDESTE;20;48;55;69;51;77;115;127;140;161;153;181;214;222;209;203;235;235;230;245;272
CEARÁ;CE;23;NORDESTE;20;261;217;266;304;273;376;459;420;457;539;492;523;542;499;487;553;508;590;566;565
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;82;82;67;86;85;112;106;148;117;158;145;132;147;146;137;177;172;155;166;155
PARAÍBA;PB;25;NORDESTE;20;38;62;54;58;36;44;77;80;93;104;131;135;156;166;156;162;187;197;157;223
PERNAMBUCO;PE;26;NORDESTE;20;289;314;275;267;277;270;257;295;290;311;295;379;363;328;290;291;337;327;326;305
ALAGOAS;AL;27;NORDESTE;20;54;43;76;67;71;98;83;68;95;78;97;109;105;110;84;102;107;141;117;117
SERGIPE;SE;28;NORDESTE;20;45;40;34;38;50;73;83;86;80;84;77;101;109;116;130;133;108;127;113;120
BAHIA;BA;29;NORDESTE;20;177;207;145;154;200;235;233;295;261;356;387;419;380;374;432;423;476;484;451;497
MINAS GERAIS;MG;31;SUDESTE;30;594;630;590;503;595;797;797;941;906;986;1017;1023;1050;1119;1103;1251;1262;1154;1349;1301
ESPÍRITO SANTO;ES;32;SUDESTE;30;111;116;124;95;107;117;126;152;149;166;159;136;149;150;165;164;177;159;173;189
RIO DE JANEIRO;RJ;33;SUDESTE;30;380;381;379;316;391;459;465;360;398;430;404;353;344;318;509;434;463;437;525;536
SÃO PAULO;SP;35;SUDESTE;30;1736;1807;1752;1549;1420;1638;1554;1556;1534;1625;1726;1709;1854;1975;1953;2056;2093;2212;2229;2297
PARANÁ;PR;41;SUL;40;616;609;663;594;583;666;582;590;669;673;591;632;599;651;583;595;633;657;626;721
SANTA CATARINA;SC;42;SUL;40;378;410;403;387;429;459;435;410;422;449;386;453;489;514;535;517;550;569;587;635
RIO GRANDE DO SUL;RS;43;SUL;40;948;989;1083;1092;1021;1039;1033;1032;1052;1077;1151;1102;1163;1112;1036;1041;1178;1137;1111;1138
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;123;127;112;145;170;139;169;189;193;193;195;184;182;209;189;209;210;225;205;230
MATO GROSSO;MT;51;CENTRO-OESTE;50;125;102;133;124;141;146;153;159;161;151;169;155;184;189;163;158;185;179;159;147
GOIÁS;GO;52;CENTRO-OESTE;50;222;248;193;262;324;328;371;325;327;318;275;289;364;308;306;331;397;416;441;428
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;128;130;98;84;90;88;110;93;106;112;129;122;132;136;158;113;142;138;149;144
BRASIL;BR;55;BRASIL;55;6743;6923;6989;6530;6780;7738;7726;7861;8017;8550;8639;8868;9328;9374;9448;9852;10321;10533;10653;11178
