ESTADOS;UF;COD;REGIAO;COD.REG.;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
RONDÔNIA;RO;11;NORTE;10;1064;1030;1211;1066;1214;1325;1461;1389;1394;1384;1380;1093;1297;1432;1529;1393;1570;1395;1459;1512
ACRE;AC;12;NORTE;10;306;339;327;246;300;320;410;342;289;341;364;362;357;387;440;497;529;522;551;505
AMAZONAS;AM;13;NORTE;10;1194;1238;1300;1229;1354;1257;1328;1388;1473;1514;1632;1660;1939;1971;2246;2517;2641;2589;2702;2961
RORAIMA;RR;14;NORTE;10;268;276;337;400;346;327;347;302;339;313;337;387;340;356;374;351;444;507;445;548
PARÁ;PA;15;NORTE;10;2138;2336;2465;2290;2207;2559;2993;3142;3310;3894;4240;4406;5240;5198;6154;5751;6218;6541;6708;6890
AMAPÁ;AP;16;NORTE;10;354;295;339;346;336;390;430;413;401;428;441;404;430;417;496;484;530;538;550;549
TOCANTINS;TO;17;NORTE;10;510;555;658;631;710;775;788;878;938;837;885;965;972;1058;1188;1239;1280;1274;1306;1404
MARANHÃO;MA;21;NORDESTE;20;1324;1468;1652;1259;1550;1713;1917;2114;2062;2619;2610;3000;3379;3490;3779;4053;4532;4906;5531;5354
PIAUÍ;PI;22;NORDESTE;20;712;722;774;793;1110;1197;1264;1382;1476;1516;1838;1817;1909;2014;2089;2225;2410;2509;2735;2544
CEARÁ;CE;23;NORDESTE;20;3477;3621;3173;3764;3937;4097;4488;4780;4960;5105;5270;5654;5825;5837;7063;7407;8421;9046;9293;8843
RIO GRANDE DO NORTE;RN;24;NORDESTE;20;1354;1405;1288;1336;1520;1442;1499;1482;1620;1676;1719;1933;2087;2287;2170;2402;2549;2772;2979;2893
PARAÍBA;PB;25;NORDESTE;20;1487;1380;1350;1284;1370;1230;1715;1583;1907;1946;2130;2143;2480;2728;2892;3077;3193;3264;3177;3240
PERNAMBUCO;PE;26;NORDESTE;20;6203;6881;7426;7109;7379;7568;7509;7414;7358;7540;7749;8109;8119;7972;7607;7760;7500;7329;7487;8299
ALAGOAS;AL;27;NORDESTE;20;1677;1670;1688;1480;1664;1784;1979;2027;2087;2224;2695;2996;2962;3066;3414;3623;3375;3527;3469;3012
SERGIPE;SE;28;NORDESTE;20;1194;1024;1102;1176;1221;1290;1343;1250;1345;1337;1398;1372;1525;1697;1834;1807;1987;2177;2186;2434
BAHIA;BA;29;NORDESTE;20;5935;6172;6311;6161;6324;6463;7222;7365;7523;7666;8406;9406;10630;11500;12184;11954;13254;12533;13009;12728
MINAS GERAIS;MG;31;SUDESTE;30;10151;10213;9886;8723;8056;8916;9567;10795;11432;11726;12224;12537;12338;12726;13109;14330;14383;14222;14977;14080
ESPÍRITO SANTO;ES;32;SUDESTE;30;2807;2918;3202;2902;2974;3016;3251;3234;3300;3310;3628;3899;3994;3957;3988;3851;4041;3966;3963;3674
RIO DE JANEIRO;RJ;33;SUDESTE;30;17153;16459;15822;15220;14948;15078;16137;15710;15075;15084;14961;15234;14480;14213;13817;13803;13105;13551;14121;13295
SÃO PAULO;SP;35;SUDESTE;30;33091;32707;32130;34182;33994;33969;32898;31305;29371;27420;24852;23131;23557;23835;23818;24035;24732;23852;24764;23144
PARANÁ;PR;41;SUL;40;7166;6929;6710;6602;6689;6897;7195;7620;8353;8321;8398;8849;9052;9287;9562;9343;9853;8977;8924;8671
SANTA CATARINA;SC;42;SUL;40;3783;3769;3205;3287;3332;3389;3664;3740;3867;3902;3863;3908;4116;4011;4086;4252;4259;4018;4436;4264
RIO GRANDE DO SUL;RS;43;SUL;40;6690;6755;6389;6338;6485;6522;6853;6808;6932;6869;6909;7136;7344;7289;7209;7079;7537;7693;7876;7842
MATO GROSSO DO SUL;MS;50;CENTRO-OESTE;50;2018;2020;1688;1620;1641;1647;1849;1867;1977;1981;1941;2007;2001;2137;2135;2236;2198;2219;2264;2019
MATO GROSSO;MT;51;CENTRO-OESTE;50;1891;1964;2093;2082;2423;2391;2630;2538;2649;2638;2714;2549;2799;2951;2875;2830;3061;3253;3397;3112
GOIÁS;GO;52;CENTRO-OESTE;50;3253;3621;3350;3635;3536;3618;3965;3802;4145;4151;3901;4087;4681;4701;5058;5360;6209;6418;6492;6455
DISTRITO FEDERAL;DF;53;CENTRO-OESTE;50;1956;1783;1814;1733;1777;1774;1848;1986;1887;1890;1903;1988;2083;2180;2140;2183;2202;2085;2141;1864
BRASIL;BR;55;BRASIL;55;119156;119550;117690;116894;118397;120954;126550;126657;127470;127633;128388;131032;135936;138697;143256;145842;152013;151683;156942;152136
