ESTADOS;UF;COD;POP
BRASIL;BR;55;155822440
RONDÔNIA;RO;11;1339507
ACRE;AC;12;455242
AMAZONAS;AM;13;2320221
RORAIMA;RR;14;262201
PARÁ;PA;15;5448598
AMAPÁ;AP;16;326188
TOCANTINS;TO;17;1007041
MARANHÃO;MA;21;5231261
PIAUÍ;PI;22;2724967
CEARÁ;CE;23;6714246
RIO GRANDE DO NORTE;RN;24;2582339
PARAÍBA;PB;25;3340018
PERNAMBUCO;PE;26;7445216
ALAGOAS;AL;27;2685421
SERGIPE;SE;28;1605257
BAHIA;BA;29;12645982
MINAS GERAIS;MG;31;16505334
ESPÍRITO SANTO;ES;32;2786692
RIO DE JANEIRO;RJ;33;13296419
SÃO PAULO;SP;35;33699614
PARANÁ;PR;41;8712805
SANTA CATARINA;SC;42;4836624
RIO GRANDE DO SUL;RS;43;9578597
MATO GROSSO DO SUL;MS;50;1912788
MATO GROSSO;MT;51;2313634
GOIÁS;GO;52;4308415
DISTRITO FEDERAL;DF;53;1737813
