SIGLA;COD;POP-2004
RO;11;29001
RO;11;15449
RO;11;16504
RO;11;19543
RO;11;86901
RO;11;42686
RO;11;7421
RO;11;5464
RO;11;76417
RO;11;18606
RO;11;17338
RO;11;4092
RO;11;17217
RO;11;6647
RO;11;18349
RO;11;9411
RO;11;11731
RO;11;9233
RO;11;27556
RO;11;18777
RO;11;42075
RO;11;8695
RO;11;56238
RO;11;113441
RO;11;29698
RO;11;11223
RO;11;14150
RO;11;16874
RO;11;18003
RO;11;20333
RO;11;9524
RO;11;12915
RO;11;40735
RO;11;3205
RO;11;31416
RO;11;2633
RO;11;380884
RO;11;25314
RO;11;4393
RO;11;3602
RO;11;49902
RO;11;11068
RO;11;7266
RO;11;17600
RO;11;31185
RO;11;16217
RO;11;5894
RO;11;14320
RO;11;17756
RO;11;10957
RO;11;10441
RO;11;65785
AC;12;10668
AC;12;4852
AC;12;16940
AC;12;7654
AC;12;6287
AC;12;78785
AC;12;12820
AC;12;35713
AC;12;4564
AC;12;11883
AC;12;7152
AC;12;8394
AC;12;15931
AC;12;11497
AC;12;5220
AC;12;286082
AC;12;9347
AC;12;2954
AC;12;31530
AC;12;19343
AC;12;29490
AC;12;13222
AM;13;13884
AM;13;8525
AM;13;6818
AM;13;12423
AM;13;17715
AM;13;11023
AM;13;27772
AM;13;30429
AM;13;25545
AM;13;25542
AM;13;12744
AM;13;11892
AM;13;27997
AM;13;34018
AM;13;9736
AM;13;10067
AM;13;25373
AM;13;25536
AM;13;16844
AM;13;80552
AM;13;19422
AM;13;28739
AM;13;13312
AM;13;35752
AM;13;11873
AM;13;29957
AM;13;16605
AM;13;38661
AM;13;78425
AM;13;8084
AM;13;8337
AM;13;12942
AM;13;7313
AM;13;26103
AM;13;27017
AM;13;81518
AM;13;13655
AM;13;1592555
AM;13;38124
AM;13;19561
AM;13;44552
AM;13;16352
AM;13;28827
AM;13;7580
AM;13;19716
AM;13;105002
AM;13;17118
AM;13;22273
AM;13;22820
AM;13;8260
AM;13;33421
AM;13;33170
AM;13;27607
AM;13;8401
AM;13;8771
AM;13;42652
AM;13;18326
AM;13;69423
AM;13;18106
AM;13;12549
AM;13;21707
AM;13;9703
RR;14;21512
RR;14;5975
RR;14;236319
RR;14;12162
RR;14;10213
RR;14;17259
RR;14;5844
RR;14;5880
RR;14;11593
RR;14;5448
RR;14;8042
RR;14;23599
RR;14;5384
RR;14;6324
RR;14;6342
PA;15;129300
PA;15;6798
PA;15;60039
PA;15;34534
PA;15;30156
PA;15;40289
PA;15;34230
PA;15;83322
PA;15;20460
PA;15;468463
PA;15;7271
PA;15;34435
PA;15;23630
PA;15;17976
PA;15;13636
PA;15;21673
PA;15;3469
PA;15;72441
PA;15;1386482
PA;15;16790
PA;15;42874
PA;15;13913
PA;15;10493
PA;15;100924
PA;15;20197
PA;15;8022
PA;15;42337
PA;15;84404
PA;15;24694
PA;15;17127
PA;15;19250
PA;15;104210
PA;15;13035
PA;15;60272
PA;15;52055
PA;15;151668
PA;15;17324
PA;15;11847
PA;15;44095
PA;15;23979
PA;15;6142
PA;15;15401
PA;15;22564
PA;15;9740
PA;15;29157
PA;15;47561
PA;15;39213
PA;15;13624
PA;15;15042
PA;15;26206
PA;15;28853
PA;15;25285
PA;15;35097
PA;15;58303
PA;15;8217
PA;15;33531
PA;15;30204
PA;15;96015
PA;15;60814
PA;15;31661
PA;15;46151
PA;15;35401
PA;15;21200
PA;15;23366
PA;15;7885
PA;15;191508
PA;15;28628
PA;15;27171
PA;15;93723
PA;15;22276
PA;15;24520
PA;15;21626
PA;15;59592
PA;15;66467
PA;15;27109
PA;15;25377
PA;15;13644
PA;15;12454
PA;15;35192
PA;15;48846
PA;15;48705
PA;15;25619
PA;15;52392
PA;15;15262
PA;15;19889
PA;15;30529
PA;15;8611
PA;15;85354
PA;15;88519
PA;15;8424
PA;15;8710
PA;15;13902
PA;15;14984
PA;15;19856
PA;15;42593
PA;15;28091
PA;15;30060
PA;15;10647
PA;15;11825
PA;15;69581
PA;15;12712
PA;15;44485
PA;15;27410
PA;15;39157
PA;15;16828
PA;15;12764
PA;15;5510
PA;15;48469
PA;15;19700
PA;15;12929
PA;15;22388
PA;15;39318
PA;15;272237
PA;15;5936
PA;15;21269
PA;15;14888
PA;15;23033
PA;15;30863
PA;15;39774
PA;15;15636
PA;15;27356
PA;15;3950
PA;15;18133
PA;15;15801
PA;15;45832
PA;15;19114
PA;15;3048
PA;15;11826
PA;15;21270
PA;15;49412
PA;15;9842
PA;15;16601
PA;15;50382
